plant,group,day,volume.fluo.iap,side.area (px),top.area (px),side.height (px)
1121KN217,Streif,12.340873,50480.02582,3318.5,1795,202.5
1121KN218,Streif,12.341386,32694.38876,3315.5,938,217
1121KN219,Streif,12.341901,29355.05961,2692,731,197.5
1121KN220,Streif,12.342412,36381.24195,2954,1014,219.5
1121KN221,Streif,12.342926,66891.02058,3708.5,2355,212.5
1121KN222,Streif,12.343441,43668.03982,3425.5,1106,181.5
1121KN223,Streif,12.343956,50138.59448,3522.5,1488,214.5
1121KN224,Streif,12.344469,42150.73478,3210,1247,213.5
1121KN225,Streif,12.344983,30502.86687,3028.5,858,221.5
1121KN235,Ursa,12.350134,61365.35104,3376.5,2122,187.5
1121KN236,Ursa,12.350645,35016.14758,3204.5,938,204
1121KN237,Ursa,12.351155,25730.89589,2849,608,176.5
1121KN238,Ursa,12.351667,63590.13603,3680.5,2027,218.5
1121KN239,Ursa,12.352179,34073.71966,3141,983,179.5
1121KN240,Ursa,12.352689,39672.97963,3388.5,806,211.5
1121KN241,Ursa,12.353199,47442.54432,3311.5,1467,171.5
1121KN242,Ursa,12.353724,51828.83872,3234,1878,214
1121KN243,Ursa,12.354241,31014.83313,3455.5,897,208.5
1121KN253,Victoriana,12.359352,32115.24075,3280.5,983,236
1121KN254,Victoriana,12.359863,44264.21685,3570.5,1321,220
1121KN255,Victoriana,12.360376,46671.29055,3533,1653,226
1121KN256,Victoriana,12.360887,33232.23134,3232,1072,210.5
1121KN257,Victoriana,12.361407,28524.74888,2989,880,226
1121KN258,Victoriana,12.361921,31660.10545,3105,1101,233
1121KN259,Victoriana,12.362433,52528.6273,3537,1452,207
1121KN260,Victoriana,12.362946,33649.81504,3532,867,225
1121KN109,Intensiv,12.369804,98947.44059,3273,6225,125.5
1121KN110,Intensiv,12.370314,59113.78898,3212.5,2714,217
1121KN111,Intensiv,12.370823,75605.33531,3384.5,3687,218
1121KN112,Intensiv,12.371333,59506.95863,3264.5,2856,184
1121KN113,Intensiv,12.371844,38458.79444,3266.5,1376,215.5
1121KN114,Intensiv,12.372356,16468.05972,997,3348,25.5
1121KN115,Intensiv,12.372865,71799.37596,3283.5,2708,191
1121KN116,Intensiv,12.373376,66904.01335,2529,4581,87.5
1121KN117,Intensiv,12.373885,64993.01271,2458,5866,71
1121KN127,Bavaria,12.379003,74059.08202,3242,3500,195.5
1121KN128,Bavaria,12.379513,61897.5,2591.5,3687,175.5
1121KN129,Bavaria,12.380039,48719.59855,2516,4055,83.5
1121KN130,Bavaria,12.380547,NA,NA,NA,NA
1121KN131,Bavaria,12.381055,37206.81961,3037.5,1494,223.5
1121KN132,Bavaria,12.381565,59369.84168,2775.5,5080,96.5
1121KN133,Bavaria,12.382073,9431.553425,1531.5,553,113.5
1121KN134,Bavaria,12.382584,32199.2339,2702.5,1452,186
1121KN135,Bavaria,12.383093,11476.56852,1465.5,617,112.5
1121KN145,BarkeCS,12.388183,34078.15268,2880.5,858,164
1121KN146,BarkeCS,12.388692,37224.45868,2989.5,1010,186
1121KN147,BarkeCS,12.389249,18493.04269,2556,402,179
1121KN148,BarkeCS,12.389773,37789.5,3223,1122,168.5
1121KN149,BarkeCS,12.390283,19541.2811,2686,546,155.5
1121KN150,BarkeCS,12.390791,36348.85546,2700,1760,130
1121KN151,BarkeCS,12.391299,21570.66575,2700,558,150.5
1121KN152,BarkeCS,12.391807,25729.49445,2605,689,141.5
1121KN153,BarkeCS,12.392316,12502.02354,1986,418,149.5
1121KN001,Apex,12.400716,37964.75442,2183.5,3577,60.5
1121KN002,Apex,12.401185,39949.30882,3082.5,1515,201.5
1121KN003,Apex,12.401629,64331.99031,3701.5,3054,212
1121KN004,Apex,12.402136,38339.94292,3070.5,1626,206.5
1121KN005,Apex,12.402643,28924.67965,2975.5,1351,185
1121KN006,Apex,12.403151,66401.26397,3688.5,2726,228.5
1121KN007,Apex,12.403657,93125.44295,3058.5,6226,92.5
1121KN008,Apex,12.404165,47592.22078,3631,1479,205.5
1121KN009,Apex,12.404671,37551.21532,3361.5,1160,236
1121KN019,Isaria,12.409747,69834.65348,3314,3450,206.5
1121KN020,Isaria,12.410253,73037.73916,3441,3223,218
1121KN021,Isaria,12.410762,65669.86596,2379.5,6170,29.5
1121KN022,Isaria,12.411282,37395,3238.5,1919,198.5
1121KN023,Isaria,12.41179,75395.71321,2797,5225,88.5
1121KN024,Isaria,12.412296,55026.96632,2576,4769,64
1121KN025,Isaria,12.412804,42350.76247,3089,1799,213.5
1121KN026,Isaria,12.413314,30086.13202,3113,770,238
1121KN027,Isaria,12.413821,50897.46086,3378,2289,227.5
1121KN037,Perun,12.419038,33126.31959,3108.5,1193,205
1121KN038,Perun,12.419545,36625.33815,3073,1299,219
1121KN039,Perun,12.420054,30497.98919,2735,1366,202.5
1121KN040,Perun,12.420561,63396.64395,3605,2754,208.5
1121KN041,Perun,12.421068,55685.25507,2520.5,3600,94.5
1121KN042,Perun,12.421576,88193.02304,3312.5,6418,77.5
1121KN043,Perun,12.422084,26396.77715,2713.5,1189,198.5
1121KN044,Perun,12.422591,29167.17377,2595,1029,202
1121KN045,Perun,12.424623,29147.62785,2983,839,245
1121KN163,Beatrix,12.434448,38390.27618,3400,1071,189.5
1121KN164,Beatrix,12.434955,27668.94922,2927.5,726,177.5
1121KN165,Beatrix,12.435463,40498.66456,3222,1379,162.5
1121KN166,Beatrix,12.435969,30019.05029,3151,776,170
1121KN167,Beatrix,12.436475,36773,3098.5,1141,166.5
1121KN168,Beatrix,12.436981,30418.04169,3211.5,973,188.5
1121KN169,Beatrix,12.437487,49111.48591,3113.5,1618,160
1121KN170,Beatrix,12.437995,31069.3279,2847.5,983,153.5
1121KN171,Beatrix,12.438503,16595.9947,2524.5,595,169.5
1121KN181,Djamilia,12.443581,34358.6142,2935,1034,215.5
1121KN182,Djamilia,12.44409,8186.202966,1689.5,376,131
1121KN183,Djamilia,12.444613,19661.78646,2115,716,146.5
1121KN184,Djamilia,12.445117,27245.03049,2971.5,741,232.5
1121KN185,Djamilia,12.445644,36413.71067,2560,1720,169.5
1121KN186,Djamilia,12.446153,22507.11405,3101.5,473,234.5
1121KN187,Djamilia,12.446658,22639.38162,3093,599,215
1121KN188,Djamilia,12.44717,16724.12567,2431.5,511,174.5
1121KN189,Djamilia,12.447742,17556.71773,2864.5,317,219.5
1121KN199,Eunova,12.452817,25435.49483,2699,843,196
1121KN200,Eunova,12.453325,25250.44788,2794.5,958,187.5
1121KN201,Eunova,12.453833,22821.64365,2656.5,813,201
1121KN202,Eunova,12.454341,37670.86322,2910,1203,195.5
1121KN203,Eunova,12.454849,28670.53478,2885.5,843,205.5
1121KN204,Eunova,12.455355,39910.91059,3144,1401,184
1121KN205,Eunova,12.45586,22140.93365,2557,760,206.5
1121KN206,Eunova,12.456366,35330.46862,3064.5,1538,199
1121KN207,Eunova,12.456874,10028.08372,2061.5,322,152
1121KN261,Victoriana,12.464123,20875.09339,3043.5,548,167
1121KN271,Wiebke,12.469086,30121.91935,3381,624,206
1121KN272,Wiebke,12.469591,42830.21075,3520,1300,211
1121KN273,Wiebke,12.470102,52644,3805,1139,213.5
1121KN274,Wiebke,12.470621,38205.96141,3313,1094,213
1121KN275,Wiebke,12.471167,30613.31282,2815,682,160.5
1121KN276,Wiebke,12.471673,38948.13393,3489.5,673,205
1121KN277,Wiebke,12.472184,21059.72308,2783,914,190.5
1121KN278,Wiebke,12.472692,57069.48727,3791.5,1552,250
1121KN279,Wiebke,12.4732,30672.46322,2505.5,1037,171
1121KN289,MorexDH,12.478289,52199.68121,2718.5,3749,137
1121KN290,MorexDH,12.478797,51195.30949,2868.5,3069,167.5
1121KN291,MorexDH,12.479313,39263.04866,1984.5,5150,58
1121KN292,MorexDH,12.479837,54222,3587.5,1693,213
1121KN293,MorexDH,12.480361,69103.91179,3182,4086,182
1121KN294,MorexDH,12.480868,64654.28366,3232,2839,201.5
1121KN301,BarkeDH,12.484413,40076.95527,3120.5,1251,182
1121KN302,BarkeDH,12.484919,16307.47796,2502,545,165
1121KN303,BarkeDH,12.485426,44181.66778,3260,1640,218
1121KN304,BarkeDH,12.485934,21288.86386,2876,824,207.5
1121KN305,BarkeDH,12.486442,36131.94664,3011,1326,167
1121KN306,BarkeDH,12.486948,51193.41911,3801,1451,242
1121KN055,Sissy,12.493746,67219.60311,2699.5,6288,92
1121KN056,Sissy,12.494253,98414.75109,3063.5,5665,106.5
1121KN057,Sissy,12.49476,85198.35576,2718,7119,52.5
1121KN058,Sissy,12.495266,81723.27995,2776,7089,36.5
1121KN059,Sissy,12.495773,64850.21203,2324,6122,58
1121KN060,Sissy,12.49628,40193.43372,1852,5601,34.5
1121KN061,Sissy,12.49679,56062.89682,2359,6057,76
1121KN062,Sissy,12.497298,64204.03876,3010.5,5152,94
1121KN063,Sissy,12.497815,60600.75,2748.5,5528,87.5
1121KN073,Trumpf,12.502958,66930.53787,2538.5,5456,127
1121KN074,Trumpf,12.503465,56320.51136,3427.5,1417,272.5
1121KN075,Trumpf,12.503974,37635.88857,3563,1220,237
1121KN076,Trumpf,12.50448,55100.2523,3293,2209,253.5
1121KN077,Trumpf,12.504988,72249.69762,3317.5,3523,192.5
1121KN078,Trumpf,12.505495,79325.99026,3209,5999,109
1121KN079,Trumpf,12.506002,80051.0753,3346,4182,149
1121KN080,Trumpf,12.506508,87291.12722,2735,6576,93
1121KN081,Trumpf,12.507014,55402.89613,2230.5,5880,99
1121KN091,Franken,12.512161,5551,1618,249,149.5
1121KN092,Franken,12.512723,55051.13623,3305.5,2048,210.5
1121KN093,Franken,12.513338,30236.88028,2466,1805,184.5
1121KN094,Franken,12.51386,82208.26781,2887,6118,91.5
1121KN095,Franken,12.514371,67272.46197,2654.5,5538,100
1121KN096,Franken,12.514876,66231,2642,5855,70
1121KN097,Franken,12.515382,67527.0375,2263.5,5753,55.5
1121KN098,Franken,12.515889,54439.54375,3636.5,1613,248
1121KN099,Franken,12.516396,33891.45604,2919,1184,156.5
1121KN217,Streif,13.340879,77383.14481,4377.5,2150,262.5
1121KN218,Streif,13.341393,47109.42173,3981.5,1201,254.5
1121KN219,Streif,13.341906,62657.32864,3687.5,1734,244.5
1121KN220,Streif,13.342419,60451.19515,3769,1657,260.5
1121KN221,Streif,13.342932,88288.5493,4170,3779,243
1121KN222,Streif,13.343445,55339.73658,3671.5,1336,237
1121KN223,Streif,13.343959,93597.47843,3884,4203,189.5
1121KN224,Streif,13.344474,52614.67951,4174.5,1191,240.5
1121KN225,Streif,13.344985,63609.63184,4074.5,2398,226.5
1121KN235,Ursa,13.350122,107932.072,4245.5,4389,148
1121KN236,Ursa,13.350636,76972.72244,3540.5,3603,223
1121KN237,Ursa,13.351149,62044.68944,3274.5,3529,172
1121KN238,Ursa,13.351662,64934.12459,4160,1872,256
1121KN239,Ursa,13.352174,84907.4163,2822.5,6010,72.5
1121KN240,Ursa,13.352686,69668.99081,4087,1763,249.5
1121KN241,Ursa,13.353198,70567.03237,3438,4553,139.5
1121KN242,Ursa,13.353709,110574.6241,4330,3934,227
1121KN243,Ursa,13.354222,74244.36549,3929,4463,200.5
1121KN253,Victoriana,13.359326,90193.69574,3208.5,6521,72.5
1121KN254,Victoriana,13.359836,123977.2083,4140,5857,191
1121KN255,Victoriana,13.360345,63762.60101,4233,1878,260
1121KN256,Victoriana,13.360862,70398.18179,3149.5,5118,148.5
1121KN257,Victoriana,13.361369,91537.0979,3841,4100,229.5
1121KN258,Victoriana,13.361878,40903.74757,3881.5,822,269.5
1121KN259,Victoriana,13.362386,52260.49404,4191.5,994,240.5
1121KN260,Victoriana,13.362896,96638.28798,3520,5061,196.5
1121KN109,Intensiv,13.369735,78955.6003,2483,7242,72
1121KN110,Intensiv,13.370244,90198.27378,3456,5230,119.5
1121KN111,Intensiv,13.370755,99870,3407,6670,119.5
1121KN112,Intensiv,13.371264,62764.887,2664,4958,119
1121KN113,Intensiv,13.371774,84953.74708,3131.5,5977,98.5
1121KN114,Intensiv,13.372283,33134.30038,2248.5,3115,69
1121KN115,Intensiv,13.372792,77790.01302,3408.5,3948,193
1121KN116,Intensiv,13.373299,97274.3836,3276,6122,62.5
1121KN117,Intensiv,13.373809,103390.6273,4490.5,5153,159
1121KN127,Bavaria,13.379046,93563.51163,3314.5,6316,61.5
1121KN128,Bavaria,13.379554,101471,3213.5,6122,86.5
1121KN129,Bavaria,13.380063,79224.0618,3621.5,4954,90
1121KN130,Bavaria,13.38057,NA,NA,NA,NA
1121KN131,Bavaria,13.381079,80106.78477,3730.5,4706,142.5
1121KN132,Bavaria,13.381586,88920.88309,4199.5,3954,158
1121KN133,Bavaria,13.382093,10439.62445,2082,358,149.5
1121KN134,Bavaria,13.382601,73989.35248,2629.5,5272,68
1121KN135,Bavaria,13.383108,10982.67385,1846,475,131
1121KN145,BarkeCS,13.38818,46873.70949,3615.5,1104,216.5
1121KN146,BarkeCS,13.388687,44604.27545,3598,919,217.5
1121KN147,BarkeCS,13.389195,40111.87258,3231,1062,216
1121KN148,BarkeCS,13.389701,50439.76003,3934,1129,216.5
1121KN149,BarkeCS,13.39021,27767.10874,3334.5,644,215.5
1121KN150,BarkeCS,13.390716,69466.40972,3566,2255,179.5
1121KN151,BarkeCS,13.391223,41687.62579,3215.5,1197,178
1121KN152,BarkeCS,13.39173,46759.79606,3369.5,1340,214
1121KN153,BarkeCS,13.392238,24714.93718,2548.5,825,172.5
1121KN001,Apex,13.400641,47426.51899,2717.5,4051,139.5
1121KN002,Apex,13.401109,53837.77716,3364,2269,228
1121KN003,Apex,13.401552,83970.17548,3045.5,6179,106.5
1121KN004,Apex,13.402057,54963.72635,2976.5,3173,198.5
1121KN005,Apex,13.402563,41930.91693,3615,1634,224.5
1121KN006,Apex,13.403072,75556.35536,4514,2078,292.5
1121KN007,Apex,13.403577,120442.6593,3740.5,6791,162.5
1121KN008,Apex,13.404083,76224.37614,2989.5,5123,95
1121KN009,Apex,13.404591,52695.15505,3895,1763,259.5
1121KN019,Isaria,13.409672,83517.62397,3073,6578,73
1121KN020,Isaria,13.410178,62578.00868,2500,5761,76.5
1121KN021,Isaria,13.410684,99749.82637,3154,7195,52
1121KN022,Isaria,13.411194,51527.75226,3674,2577,210
1121KN023,Isaria,13.4117,72881.49523,2518,6192,50.5
1121KN024,Isaria,13.412205,56127.60797,2983.5,4733,81.5
1121KN025,Isaria,13.412711,64716.37799,2716,6143,73
1121KN026,Isaria,13.413217,77784.73673,3624,4854,110.5
1121KN027,Isaria,13.413722,84543.91526,3254,5435,79
1121KN037,Perun,13.41885,93573.89807,2598.5,6715,40
1121KN038,Perun,13.419356,77861.08943,3161.5,5580,89
1121KN039,Perun,13.419862,85588.3827,3171,5531,131
1121KN040,Perun,13.420368,106177.2664,3987.5,5628,136
1121KN041,Perun,13.420875,65692.65771,2684.5,5602,103
1121KN042,Perun,13.421382,102431.4011,4417.5,6284,171
1121KN043,Perun,13.421889,52261.47759,3535.5,2066,198
1121KN044,Perun,13.422395,51864.96899,3570,NA,238.5
1121KN045,Perun,13.424492,68722.52001,3828,3820,240.5
1121KN163,Beatrix,13.434319,46380.06165,3738.5,1780,226.5
1121KN164,Beatrix,13.434826,43281.82362,3693.5,1034,204
1121KN165,Beatrix,13.435333,56359.67282,3798,1670,222.5
1121KN166,Beatrix,13.435838,57736,3825,1715,213
1121KN167,Beatrix,13.436344,49685.43046,3892,1376,221.5
1121KN168,Beatrix,13.43685,48787.02944,3662.5,1423,222
1121KN169,Beatrix,13.437358,78691.72844,3836,2414,196.5
1121KN170,Beatrix,13.437864,44390.57769,3588.5,1299,213
1121KN171,Beatrix,13.43837,34537.78556,3173,1039,216.5
1121KN181,Djamilia,13.443461,68689.66443,3676,2520,227.5
1121KN182,Djamilia,13.443967,15811.12254,2315.5,681,171.5
1121KN183,Djamilia,13.444473,31481.04519,2833,915,184.5
1121KN184,Djamilia,13.444993,46009.94786,3231,1452,266
1121KN185,Djamilia,13.445539,55935.61327,3185.5,2853,200.5
1121KN186,Djamilia,13.446112,77565.55183,3513.5,4562,192
1121KN187,Djamilia,13.446618,29108.94177,3618.5,796,251
1121KN188,Djamilia,13.447123,31825.89911,2856,1196,235
1121KN189,Djamilia,13.447629,81184.08118,3406.5,5469,135
1121KN199,Eunova,13.452696,104823.3936,3594,6148,170.5
1121KN200,Eunova,13.453201,75047.2638,3141.5,5326,123
