plant,group,day,fw_biomass,dw_biomass,height_above_bound,sv_area,tv_area,extent_x,extent_y,height_width_ratio,tiller_count
Dp2AB000127,B100,11.40914352,0,0,1.268625726,2086.727078,2955.326884,1.980293816,1.268625726,0.640625,3.815550819
Dr4AC000551,R102,11.40988426,0,0,2.929184603,2869.828345,3972.868412,1.825583362,2.929184603,1.604519774,1.711742589
Dp1AD000061,A10,11.41072917,0,0,4.228752419,4001.54945,2773.347509,2.949812663,4.228752419,1.433566434,2.095356729
Dr5AE000681,R128,11.41157407,0,0,2.093748149,3213.728519,3875.570711,3.630538663,2.093748149,0.576704545,3.96479688
Dr3AA000416,R98,11.41241898,0,0,4.95073454,4493.120667,3010.964468,3.290175663,4.95073454,1.504702194,1.943675964
Dr5AB000622,R128,11.41326389,0,0,2.702275936,3249.03524,4622.185341,2.12469024,2.702275936,1.27184466,2.443204982
Dp1AC000046,A10,11.4141088,0,0,4.569115419,4237.895729,2501.876034,3.094209087,4.569115419,1.476666667,2.002947699
Dr1AD000176,R20,11.4149537,0,0,5.280783509,5808.999453,3513.336456,3.589282541,5.280783509,1.471264368,2.027745083
Dr1AE000182,R20,11.41579861,0,0,3.929645541,4848.820002,3601.920929,4.074041965,3.929645541,0.964556962,3.129162538
Dr6AA000711,R133,11.41664352,0,0,4.847594237,4481.684557,2503.600527,2.661019815,4.847594237,1.821705426,1.249560398
Dr7AB000831,R161,11.41748843,0,0,1.186113484,1564.750329,2825.536108,1.897781574,1.186113484,0.625,3.84544982
Dr4AD000576,R102,11.41917824,0,0,1.340823938,829.7533359,1184.091229,0.526015545,1.340823938,2.549019608,-0.372910273
Dr2AE000385,R70,11.42002315,0,0,1.949351725,2457.583797,2976.928425,2.021549937,1.949351725,0.964285714,3.110015867
Dr1AA000201,R20,11.42171296,0,0,5.404551873,6448.241714,4653.044686,4.280322571,5.404551873,1.262650602,2.489744311
Dr3AB000421,R98,11.42255787,0,0,5.600518448,5076.543818,3242.50032,2.877614451,5.600518448,1.946236559,0.981832817
Dr2AC000356,R70,11.42340278,0,0,3.104523118,3893.632504,3720.820171,2.929184603,3.104523118,1.059859155,2.912630231
Dr3AD000471,R98,11.42424769,0,0,4.878536328,5246.451742,3278.170092,4.156554207,4.878536328,1.17369727,2.674570308
Dr6AE000786,R133,11.42509259,0,0,4.723825873,5058.300499,3284.795775,3.496456269,4.723825873,1.351032448,2.284773801
Dr6AB000726,R133,11.42763889,0,0,3.661480753,2844.414766,1881.240144,2.062806058,3.661480753,1.775,1.338297215
Dp2AC000146,B100,11.42847222,0,0,2.918870572,3569.246328,3791.524377,3.506770299,2.918870572,0.832352941,3.408035952
Dr8AD000967,R187,11.42931713,0,0,2.227830543,3415.766467,3507.255349,3.352059845,2.227830543,0.664615385,3.773999918
Dp2AE000183,B100,11.43016204,0,0,1.815269331,1331.762273,1296.72784,0.680725999,1.815269331,2.666666667,-0.626332933
Dr4AA000511,R102,11.43186343,0,0,1.681186938,1229.744908,1527.356064,0.71166809,1.681186938,2.362318841,0.039139314
Dp1AB000035,A10,11.43269676,0,0,2.712589967,3148.742368,3556.176488,2.867300421,2.712589967,0.946043165,3.155660387
Dr2AC000346,R70,11.43354167,0,0,3.88838942,4735.275765,3935.837197,3.156093269,3.88838942,1.232026144,2.542649863
