plant,day,group,fw_biomass,dw_biomass,height_above_bound,sv_area,tv_area,extent_x,extent_y,height_width_ratio,tiller_count
Dp1AA000001,12.83443287,100% FC,0.037859589,0,6.910400295,8210.038039,4886.395793,4.362834813,6.910400295,1.58392435,1.800917899
Dp1AA000001,14.56369213,100% FC,0.585227063,0.051676509,9.818956837,22787.99273,11480.31177,7.384845689,9.818956837,1.329608939,2.478041707
Dp1AA000001,16.32125,100% FC,1.425553727,0.150700111,11.08194142,45168.28495,27704.26536,12.17196845,11.14249848,0.910447761,3.580476575
Dp1AA000001,18.66731481,100% FC,4.04608047,0.459501448,17.4858502,114960.3751,74334.33257,21.0435773,17.54640726,0.830935252,4.330713719
Dp1AA000001,20.31337963,100% FC,6.994360124,0.806924997,17.4858502,193481.4587,139070.2077,24.10170867,17.54640726,0.725502513,5.209759505
Dp1AA000001,22.31289352,100% FC,12.00780486,1.397706389,25.67253037,327003.7698,322498.1108,31.64983662,26.00128221,0.811142587,6.124540968
Dp1AA000001,25.30806713,100% FC,21.30100802,2.492812008,32.03836153,574508.2359,542803.7166,36.25236244,34.57871669,0.883759275,8.008798631
Dp1AA000001,27.308125,100% FC,27.25898101,3.194896057,41.54227848,733186.0244,655364.6647,38.34441963,42.88717239,1.083398285,8.881667623
Dp1AA000001,29.30822917,100% FC,30.31774522,3.555339041,46.35401001,814649.6264,672240.4382,41.15375357,48.08742883,1.126361656,9.460118558
Dp1AA000001,31.30818287,100% FC,32.47045292,3.809012855,49.9702803,871982.363,696897.1131,40.34681723,51.49449339,1.238518519,9.687873867
Dp1AA000001,33.30431713,100% FC,35.27286142,4.139247032,53.93771154,946618.4823,770238.2244,38.62167519,55.89563784,1.396565822,9.958006042
Dp1AA000004,12.81168981,100% FC,0,0,3.764621056,3308.484861,1876.066665,1.712129028,3.764621056,2.198795181,0.414305497
Dp1AA000004,14.54086806,100% FC,0.054077909,0,5.744914872,8641.978109,5697.905811,4.527859298,5.744914872,1.268792711,2.494407363
Dp1AA000004,16.29849537,100% FC,0.499370789,0.041559256,10.49151012,20501.39564,11015.29361,6.040566432,10.53692791,1.736842105,1.567601768
Dp1AA000004,18.64457176,100% FC,1.744391441,0.188271761,13.09546357,53659.84128,30610.02976,12.47475373,13.17115989,1.049757282,3.345584478
Dp1AA000004,20.29054398,100% FC,3.329194465,0.375024021,14.36716176,95867.65918,67504.45651,18.45476311,14.44285809,0.778506973,4.287878675
Dp1AA000004,22.29016204,100% FC,6.084033839,0.69965268,16.64679792,169236.8772,163650.9482,22.92296949,16.64679792,0.726205997,5.008071577
Dp1AA000004,25.28623843,100% FC,14.32098219,1.670289851,28.45197778,388610.2697,389835.7564,31.50040397,28.84050268,0.903225806,6.431525343
Dp1AA000004,27.28627315,100% FC,21.19202956,2.47997005,29.79687169,571605.8292,562890.3504,35.89372407,31.02221947,0.830141549,8.102224514
Dp1AA000004,29.28638889,100% FC,27.0666218,3.17222856,38.16510044,728062.9508,716846.1936,38.10532738,38.43407922,1.001568627,9.018526014
Dp1AA000004,31.28633102,100% FC,30.71865043,3.602581475,43.21592423,825326.8738,770958.5194,38.85249066,43.5745626,1.112307692,9.579031698
Dp1AA000004,33.28355324,100% FC,33.65565196,3.948676016,47.52708189,903547.5887,856113.2796,39.25326431,49.86396167,1.21078037,10.00918386
Dp1AA000007,12.99233796,100% FC,0.116766712,0,6.435954902,10311.55945,6731.421588,5.466436054,6.435954902,1.177358491,2.708369023
Dp1AA000007,14.67990741,100% FC,0.698288423,0.064999594,11.07726853,25799.13872,16725.40207,8.818495899,11.07726853,1.256140351,2.66374597
Dp1AA000007,16.47148148,100% FC,1.712137094,0.184470927,10.70345982,52800.81616,38913.28407,16.8500011,10.73373835,0.635220126,4.246046931
Dp1AA000007,18.82518519,100% FC,4.443451746,0.506327447,15.26037836,125543.5039,92877.39387,22.98140312,15.30579615,0.664031621,4.783486538
Dp1AA000007,20.47105324,100% FC,8.1210602,0.939694674,17.4858502,223488.6904,176441.0271,31.8378727,20.51370305,0.549215407,5.843428726
Dp1AA000007,22.50947917,100% FC,14.01719768,1.634492062,25.55298424,380519.6231,406210.3741,35.71440488,29.07959493,0.715481172,6.775767005
Dp1AA000007,25.4662963,100% FC,23.04345336,2.698140747,35.17644732,620914.5177,571168.5599,37.56736982,39.83874619,0.936356404,8.276747357
Dp1AA000007,27.46628472,100% FC,27.0423954,3.169373735,37.95589472,727417.7328,601099.395,38.01566779,41.03420745,0.998427673,9.020076058
Dp1AA000007,29.46625,100% FC,29.00688469,3.400868003,41.7514842,779737.6772,682351.0889,39.80885966,45.21832183,1.048798799,9.341717636
