plant	genotype	day	volume.fluo.iap	side.area (px)	top.area (px)	side.height (px)
1121KN209	Eunova	12.336859	61360.46702	3088	2607	208
1121KN210	Eunova	12.33734	73517.45421	2714.5	5200	86.5
1121KN211	Eunova	12.337791	50563.95934	3547.5	1697	230
1121KN212	Eunova	12.338304	8523.590793	1921.5	456	139
1121KN213	Eunova	12.338817	23245.17365	2428.5	709	223
1121KN214	Eunova	12.339331	35070.59143	3009.5	1313	212.5
1121KN215	Eunova	12.339843	48793.0883	3362.5	2116	200
1121KN216	Eunova	12.340359	83449.97366	3863	3017	216
1121KN226	Streif	12.345496	43783.93576	3421	1292	208.5
1121KN227	Streif	12.346009	54913.09437	3842	1602	196.5
1121KN228	Streif	12.346528	85457.7027	3708.5	2375	235.5
1121KN229	Streif	12.347041	54598.14228	3686	1654	190.5
1121KN230	Streif	12.347574	26401.48581	3416.5	512	211
1121KN231	Streif	12.348088	60536.52359	3561.5	1795	210
1121KN232	Streif	12.348601	67540.43086	2913	4312	157.5
1121KN233	Streif	12.349111	49990.71062	3098.5	1830	201.5
1121KN234	Streif	12.349622	65812.6084	3577.5	1853	228.5
1121KN244	Ursa	12.354752	73719.70594	3969	2314	205.5
1121KN245	Ursa	12.355264	93277.92779	3768	3165	224.5
1121KN246	Ursa	12.355773	78100.98713	3567	3063	224
1121KN247	Ursa	12.356286	69134.35041	3652.5	2511	228.5
1121KN248	Ursa	12.356798	33283.93565	3447.5	674	206
1121KN249	Ursa	12.357309	46372.25782	3232.5	1349	189
1121KN250	Ursa	12.357819	78334.76875	3265	3477	199
1121KN251	Ursa	12.358329	31644.56825	2459	1163	182
1121KN252	Ursa	12.358841	21459.17024	2689.5	744	165
1121KN105	Franken	12.367885	85155.61112	3990.5	3811	223.5
1121KN106	Franken	12.368332	49769.99262	3140	1952	201.5
1121KN107	Franken	12.368785	37966.0225	2816	1201	208
1121KN108	Franken	12.369295	109601.7504	3931.5	5902	170.5
1121KN118	Intensiv	12.374395	92263.06978	3045	6549	130
1121KN119	Intensiv	12.374907	56706.47391	3393	1941	229
1121KN120	Intensiv	12.375415	NA	NA	NA	NA
1121KN121	Intensiv	12.375925	79882.52396	3303.5	4686	152.5
1121KN122	Intensiv	12.376435	43371.47911	3355.5	1448	186
1121KN123	Intensiv	12.376944	65865.93953	2467	5831	70
1121KN124	Intensiv	12.377455	73707.01226	2963	5255	112
1121KN125	Intensiv	12.377971	56357.57596	1967.5	5604	47
1121KN126	Intensiv	12.378482	75779.06071	2932.5	5442	100.5
1121KN136	Bavaria	12.383604	25222.01768	2784.5	682	167.5
1121KN137	Bavaria	12.384114	3865.92809	1423	312	102
1121KN138	Bavaria	12.384623	20952	2501.5	610	190.5
1121KN139	Bavaria	12.385132	33124.03025	2803.5	1146	207
1121KN140	Bavaria	12.38564	45329.88904	3075	1707	215
1121KN141	Bavaria	12.386149	81808.13133	3240	5531	88
1121KN142	Bavaria	12.386658	16048.86987	2320.5	413	154
1121KN143	Bavaria	12.387166	44008.78691	2714.5	1882	185
1121KN144	Bavaria	12.387674	34698.04395	2985.5	962	206
1121KN154	BarkeCS	12.392825	23642.32527	2529.5	850	152.5
1121KN155	BarkeCS	12.393344	19863.14107	2295	450	120.5
1121KN156	BarkeCS	12.393872	31514.49895	2923.5	1156	180.5
1121KN010	Apex	12.405178	50648.27153	2397	5155	68
1121KN011	Apex	12.405686	70232.06084	2286	6763	43.5
1121KN012	Apex	12.406192	34735.68862	3616.5	1060	210.5
1121KN013	Apex	12.406701	56278.35391	2444	6062	43
1121KN014	Apex	12.407209	36131.6608	2192.5	3443	69.5
1121KN015	Apex	12.407717	42966.78979	1911.5	5947	29
1121KN016	Apex	12.408225	61183.3345	2586.5	5241	56
1121KN017	Apex	12.408732	64605.49512	3630	2416	221.5
1121KN018	Apex	12.409239	55019.0916	2889.5	2975	180
1121KN028	Isaria	12.414327	33919.12173	2933	1275	221.5
1121KN029	Isaria	12.414833	27181.42856	2855.5	684	212
1121KN030	Isaria	12.415338	30235.95387	2532.5	1580	207
1121KN031	Isaria	12.415845	38501.65451	3222	1155	217
1121KN032	Isaria	12.416353	39922.04948	3136	1632	232.5
1121KN033	Isaria	12.416922	23687.26481	2699	852	169.5
