PlantID,Group,Genotype,Treatment,side.area.avg|Geometric,side.border.length..px.|Geometric,side.compactness.01..relative.|Geometric,side.compactness.16..relative.|Geometric,side.fluo.histogram.bin.02.12_25|FLUO,side.fluo.histogram.bin.20.242_255|FLUO,side.fluo.intensity.average..relative.|FLUO,side.fluo.intensity.classic.average|FLUO,side.height..px.|Geometric,side.hull.fillgrade..percent.|Geometric,side.hull.pc1|Geometric,side.hull.pc2|Geometric,side.leaf.count..leafs.|Geometric,side.leaf.length.sum..px.|Geometric,side.leaf.width.average|Geometric,side.nir.histogram.bin.11.127_140|NIR,side.nir.histogram.bin.13.153_165|NIR,side.nir.intensity.average..relative.|NIR,side.vis.hsv.h.average|Color,side.vis.hsv.h.histogram.bin.01.0_12|Color,side.vis.hsv.h.histogram.bin.13.153_165|Color,side.vis.hsv.s.average|Color,side.vis.hsv.v.average|Color,side.vis.hsv.v.histogram.bin.04.38_51|Color,side.vis.hsv.v.histogram.bin.17.204_216|Color,side.vis.hsv.v.histogram.bin.20.242_255|Color,side.vis.lab.b.kurtosis|Color,side.vis.lab.b.mean|Color,side.vis.stress.hue.yellow2green|Color,side.width..px.|Geometric,top.area..px.|Geometric,top.compactness.16..relative.|Geometric,top.fluo.histogram.bin.04.38_51|FLUO,top.fluo.histogram.bin.06.63_76|FLUO,top.fluo.histogram.bin.12.140_153|FLUO,top.fluo.intensity.phenol.plant_weight_drought_loss|FLUO,top.hull.pc1|Geometric,top.hull.pc2|Geometric,top.leaf.count|Geometric,top.leaf.length.sum|Geometric,top.ndvi.vis.blue.intensity.average..relative.|Color,top.vis.hsv.h.average|Color,top.vis.hsv.h.histogram.bin.07.76_89|Color,top.vis.hsv.h.histogram.bin.10.114_127|Color,top.vis.hsv.h.histogram.bin.19.229_242|Color,top.vis.hsv.s.average|Color,top.vis.hsv.s.histogram.bin.10.114_127|Color,top.vis.hsv.v.average|Color,top.vis.hsv.v.histogram.bin.03.25_38|Color,top.vis.hsv.v.histogram.bin.07.76_89|Color,top.vis.hsv.v.histogram.bin.09.102_114|Color,top.vis.hsv.v.histogram.bin.17.204_216|Color,top.vis.lab.b.skewness|Color,volume.fluo.iap|Geometric
1121KN001,DH,Apex,control,114844.2857,14248.28571,0.007236899,1775.142857,24.42857143,11.28571429,0.560378084,0.520963916,667.5714286,0.36194353,732.7142857,668.6251054,23.71428571,5397.714286,39.30944499,799.7142857,39.57142857,0.469551106,0.229469805,34.28571429,22.85714286,0.337880261,0.321219806,763.4285714,69,3.285714286,3.804069816,136.8455463,0.353717654,682.5714286,232481,2392,5959,46395,512,2423.028571,1329,960.5681741,64,12755,0.197892915,0.260571079,2495,139,204,0.33773008,3835,0.297862975,926,46192,2558,35,-0.222318069,31293908.24
1121KN002,DH,Apex,control,107610.4286,14030.85714,0.007226028,1841.714286,31.28571429,7.142857143,0.572056558,0.536621237,628.2857143,0.304891264,783.4285714,642.8377231,23.85714286,5251,39.67810992,801.8571429,63.42857143,0.461506209,0.227034255,30.28571429,16.28571429,0.335338043,0.334042562,368.1428571,68.71428571,4.285714286,2.869141782,136.8994261,0.390596608,737.2857143,253299,2618,7544,52196,536,2546.228571,1658,1284.718548,60,12960,0.206040273,0.257713478,2592,135,158,0.338233587,3747,0.310859569,453,52696,3898,57,-0.114103135,29813671.67
1121KN003,DH,Apex,control,110881,13924.42857,0.00758978,1759.714286,23.28571429,10.28571429,0.553119142,0.511533304,552.5714286,0.344177607,801.8571429,640.1871696,21.71428571,5203,39.56985691,780.7142857,65.28571429,0.468671625,0.229103197,25.71428571,24,0.338689381,0.315191084,1605.142857,64.14285714,5.857142857,2.920838406,136.854777,0.382845422,774.8571429,221572,1623,5281,49442,544,2333.737815,1610,1110.072288,67,10309,0.199790942,0.261002583,4130,273,90,0.327899377,1776,0.296154138,758,49278,2551,58,-0.461219051,30291643.42
1121KN004,DH,Apex,control,110550,14591.71429,0.006763731,1933.142857,24.14285714,14,0.573739117,0.538492214,758.5714286,0.281689784,870.5714286,690.5596257,23.71428571,5589.857143,38.71445393,767.2857143,71.14285714,0.464906853,0.226990139,19.14285714,18.14285714,0.342827166,0.323768831,963.5714286,58.28571429,3.714285714,3.307206947,137.185196,0.382602281,654,234668,1932,7894,47428,589,2544.168067,1490,1080.640732,53,12054,0.202732845,0.260220409,3327,139,39,0.333296176,2623,0.303141091,402,46976,3535,39,-0.034481473,29961635.03
1121KN006,DH,Apex,control,121621.2857,15103.85714,0.006780374,1880.428571,26,10.14285714,0.570698095,0.533091196,658.1428571,0.308534548,823.5714286,758.4568723,26.42857143,5736.857143,39.91935187,845.5714286,73.85714286,0.462768663,0.228003941,27.28571429,16.14285714,0.341349642,0.334165377,467,81.85714286,6.285714286,3.256181782,137.2249796,0.375567763,751.1428571,263457,2292,6624,50259,564,3895.280672,1629,1223.295385,59,13500,0.201164705,0.256981923,2317,105,230,0.346195473,5341,0.307032268,1229,56375,4599,25,-0.126684823,35693184.94
1121KN007,DH,Apex,control,120494,14819.28571,0.00727523,1835,30.42857143,15.85714286,0.55816506,0.51799995,643.1428571,0.338226208,784.5714286,707.0361695,25.57142857,5552.571429,40.27518878,839,83.71428571,0.468903564,0.230221528,32.28571429,28,0.338272613,0.319991624,957.2857143,67.57142857,3,3.662972488,136.8543114,0.356765057,675.5714286,256232,2203,7241,49975,709,3112.510924,1636,993.099127,64,12921,0.199963313,0.259354221,3842,138,122,0.337562541,3372,0.300890859,810,55627,3096,56,-0.268164557,35202706.45
1121KN008,DH,Apex,control,122000,16262.14286,0.00582263,2168.571429,19.71428571,8.571428571,0.561818845,0.52380897,761.1428571,0.271407574,898,785.787587,29.14285714,6320.857143,38.60219986,828,97,0.460818647,0.22838562,24.28571429,23,0.341818007,0.334090874,561.1428571,71,4.714285714,3.881743895,137.1765296,0.385429937,755.1428571,261021,2059,8402,55841,587,3102.457143,1482,1309.909217,59,12231,0.20072486,0.260131453,2506,190,237,0.348617561,4706,0.308126465,863,61794,4106,49,-0.324891693,34640370.3
1121KN009,DH,Apex,control,111972.4286,14028,0.007585282,1770,17.57142857,12.85714286,0.568193857,0.532271199,668.1428571,0.286871799,838.7142857,693.5506552,23.14285714,5234.428571,41.12376856,838.1428571,78.28571429,0.465316645,0.227689335,34,18.85714286,0.343916679,0.335387168,264,82,4,3.622288659,137.3008732,0.368269698,711.4285714,231770,2099,5203,50456,605,2655.865546,1662,957.8021609,61,12017,0.207039,0.257103466,1851,120,123,0.342291065,3571,0.314188976,640,59415,4108,65,-0.056003675,30677369.94
1121KN145,DH,BarkeCS,control,141074.2857,15610.14286,0.007433028,1729.285714,103.2857143,13.57142857,0.605108879,0.570445368,712,0.326398952,889.5714286,768.2794762,21.71428571,6037.428571,41.48858926,1024,55.28571429,0.462463974,0.230150573,21.28571429,16.42857143,0.357796422,0.311640384,1060.285714,45.14285714,3.428571429,3.892055627,137.7760161,0.276929245,780.1428571,304182,1428,15469,57685,847,7032,1471,1295.858252,66,12483,0.189462019,0.254675643,1493,123,85,0.366291307,10051,0.298673732,642,56529,6582,79,-0.092168417,49112920.36
1121KN146,DH,BarkeCS,control,125973.2857,14591.42857,0.007653995,1695.857143,81.14285714,11.42857143,0.624755697,0.597089374,728.8571429,0.305618914,943.8571429,710.7089576,22.14285714,5838.714286,40.68329021,1102.428571,81.42857143,0.460597486,0.228623283,19.85714286,19,0.356447426,0.328325935,271.5714286,58.42857143,2.142857143,3.966362727,137.9206552,0.30574289,753.5714286,273229,1521,12293,55927,714,6146.85042,1685,1248.238068,47,11051,0.194220201,0.254466368,1458,97,105,0.367677763,10450,0.306489499,688,55657,4971,135,0.024187981,40510834.45
