Cluster	AG	AP1	AP2	AP3	BLR	PI	SEP3	LFY	JAG	ETT	RGA
AP1	1.19445	1.18974	1.11748	5.22911	0.583604	3.99957	1.13228	3.51773	0.694881	1.82263	1.69052
AP1	0.735498	0.781061	1.58094	1.16654	1.23626	0.855809	0.93928	1.39601	1.62689	3.45776	1.84087
AP1	2.63896	2.20052	1.04099	1.80241	1.24082	1.57508	3.80052	1.27567	3.61091	0.794391	0.89828
AP1	1.75182	3.14647	1.34228	1.04624	1.93462	1.3973	3.57287	1.62784	1.2875	1.77394	0.687119
AP1	1.23863	1.00852	1.49977	1.95004	1.59515	1.8232	0.926223	1.34526	0.938072	1.05134	0.82244
AP1	2.27067	5.76578	4.43602	1.54229	4.17527	1.8232	4.11887	1.25375	5.34819	1.40306	3.66442
AP1	1.79886	0.763311	0.71696	4.09985	3.28765	4.46374	0.791574	2.52126	0.5925	0.657865	0.715415
AP1	2.19353	0.887316	0.834162	1.72267	2.03637	1.48343	0.705427	2.03332	1.34718	0.586795	0.906869
AP1	1.7372	3.97501	5.43868	0.969615	1.09593	0.975339	3.20561	0	4.14807	1.38607	2.39296
AP1	0.884495	2.60061	0.932095	1.68288	1.58136	2.20326	1.70701	2.83	3.07995	0.808566	3.67821
AP1	1.38243	1.63326	0.456859	1.15831	2.39193	1.29413	2.19385	0.575265	1.66873	7.52646	1.468
AP1	0.817288	0.559777	1.11748	0.725597	1.44973	0.677096	0.472036	0	4.58533	0.910096	1.8218
AP1	1.12543	3.56538	0.932095	0.872313	2.13219	1.03807	2.03939	0.972698	3.32205	3.09987	3.28808
AP1	1.57	2.95112	0.663656	3.35646	0.958292	3.18005	3.76291	0	1.65741	0.600226	1.2996
AP1	0.862541	0.83114	1.80499	1.09183	1.29636	0.975974	0.903731	0	1.39462	1.60805	2.67094
AP1	1.07122	1.7518	1.16417	0.828809	6.37454	0.638087	2.04591	1.86818	0.55279	2.65821	0.675881
AP1	0.933839	4.72062	3.6438	0.946094	3.69822	1.06023	3.31604	1.32821	3.91713	2.4822	6.41749
AP1	1.36046	0.937435	2.66839	1.57773	5.13055	0.943748	0.86781	0	1.893	3.71078	2.96645
AP1	5.74635	1.10477	5.3618	2.28536	1.75931	2.53489	4.03736	1.21684	1.49198	1.48178	4.0759
AP1	1.53987	1.12753	0.97733	1.74133	2.27068	1.24029	0.875983	0	1.02457	5.41778	1.63627
AP1	4.71998	0.770497	2.04979	7.24668	1.35083	8.4642	3.66292	3.20521	1.16932	6.52856	1.77357
AP1	0.610127	1.7518	0.834162	0.771698	1.57046	0.575285	1.02623	1.90604	1.38435	0.792388	1.24401
AP1	1.72927	0.952002	1.80499	1.21445	1.23828	0.88688	1.06684	0.508559	1.44459	1.57005	3.23879
AP1	2.13716	1.23491	0.565919	1.17532	1.46953	1.27261	2.7216	0	1.29384	1.21853	0.971198
AP1	2.87953	1.33758	2.24229	0.508415	1.36051	0.600576	1.30116	2.73336	1.74133	6.37584	1.85857
AP1	1.52713	1.48343	3.32361	1.70063	1.58507	1.89651	1.44746	2.2274	3.26247	4.49283	1.03713
AP1	0.663418	0.828831	0	0.998401	1.41116	0.78184	0.927867	2.17318	1.07438	2.00366	0.718082
AP1	0.655866	1.72355	2.24229	0.857937	1.86935	0.844026	1.11756	0	0.874898	1.13808	1.07188
AP1	2.32805	0.848664	1.16417	0.684924	1.15847	0.996562	1.91414	0	3.01594	1.22875	1.89705
AP1	1.50465	2.30321	3.46564	0.831	2.16304	0.760422	1.61525	0.759302	2.1414	1.08339	0.64441
AP1	1.27794	0.607016	0.634553	0.560037	1.65537	0.736345	1.16908	0	2.40632	3.28932	1.6281
AP1	1.4718	0.870772	4.03604	0.794014	3.7816	1.04737	0.444863	0	2.58209	0.981334	2.6645
AP1	2.92387	1.17179	1.99088	4.89213	0.685347	3.71404	1.67829	1.25375	1.87874	2.54808	2.84405
AP1	10.3083	5.34005	3.96917	9.01644	1.80174	5.43051	6.15839	2.05639	2.67257	4.03756	1.97334
AP1	0.544015	0.912158	2.87888	1.34222	1.51009	1.10389	1.16215	1.09625	4.00407	1.84343	3.07342
AP1	1.01875	1.06706	3.09841	1.50555	3.02244	1.49145	1.18305	0	1.43367	1.65738	2.90846
AP1	1.38891	1.84614	2.19551	2.26117	2.23626	2.03396	2.26735	1.31788	3.35217	5.25453	3.85799
AP1	1.08783	4.30864	3.04175	1.01395	1.04125	0.882519	2.77379	0	3.76064	8.52603	2.0619
AP1	0.703737	1.67628	0.777547	0.84943	1.25397	0.972238	1.25167	1.39601	1.2739	5.41778	2.20849
AP1	1.17242	2.48302	1.80499	0.756586	1.49104	0.591159	1.45718	2.93534	1.11555	0.775125	0.815195
AP1	1.61482	1.0554	1.01294	1.10776	3.2195	1.09511	1.4438	0	1.0463	0.548789	0.537156
AP1	0.775772	1.14978	1.11748	1.72267	2.14011	1.50607	0.95435	0.848543	1.27003	0.697162	1.41116
AP1	4.86747	3.96318	2.60626	6.54517	0.765479	4.96723	5.25162	9.61245	1.12986	0.973036	1.58666
AP1	8.92426	1.58876	0.518461	3.86519	3.86582	8.88538	4.24411	0.650673	0.537728	1.69412	1.14139
AP1	2.47151	1.09603	4.57276	1.69266	1.12671	1.90464	2.64623	11.6945	1.44162	3.45925	3.54805
AP1	1.46214	1.80232	4.37381	1.57002	4.7978	1.16645	1.01869	1.36059	5.07948	2.4735	4.35736
AP1	4.06429	0.876862	0.605273	3.35646	1.42762	3.39016	2.41654	0	1.09297	0.775679	1.46832
