Gene	Name	Cluster	AP1_S4	AP1_S6	AP3_S4	AP3_S6	AG_S4	AG_S6
AT1G01170	AT1G01170	AP1	217.03	177.405	110.45	144.255	64.19	79.34
AT1G01230	AT1G01230	AP1	49.095	38.205	23.695	30.435	13.355	16.03
AT1G07420	SMO2-1	AP1	32.965	28.935	14.635	17.735	15.52	13.955
AT1G10200	WLIM1	AP1	150.445	127.28	58.755	114.165	53.435	60.04
AT1G10370	GSTU17	AP1	188.905	235.005	107.44	106.305	90.205	93.33
AT1G12320	AT1G12320	AP1	14.135	16.7	5.7	6.55	9.325	11.935
AT1G13280	AOC4	AP1	124.925	72.55	37.515	61.455	21.615	34.3
AT1G15370	AT1G15370	AP1	104.22	81.98	51.425	61.57	39.01	37.25
AT1G17860	AT1G17860	AP1	15.745	8.62	3.81	4.26	4.7	3.015
AT1G18810	AT1G18810	AP1	7.035	6.215	1.965	3.395	1.57	2.675
AT1G19830	SAUR54	AP1	11.43	10.25	1.925	4.765	2.73	5.205
AT1G19980	AT1G19980	AP1	10.36	10.67	6.715	9.92	4.56	5.235
AT1G21120	IGMT2	AP1	2.775	4.23	1.425	0.955	1.3	1.005
AT1G25340	MYB116	AP1	1.91	1.22	0.35	0.465	0.175	0.915
AT1G26945	PRE6	AP1	19.405	20.45	5.54	4.16	2.84	4.565
AT1G29500	SAUR66	AP1	1.76	1.96	0.105	0.205	0.1	0.11
AT1G43650	UMAMIT22	AP1	3.41	2.96	1.425	1.105	1.205	1.385
AT1G48745	AT1G48745	AP1	4.16	3.39	1.195	1.67	0.89	1.865
AT1G48750	AT1G48750	AP1	1583.37	2349.54	629.28	425.545	509.515	608.97
AT1G48760	PAT4	AP1	37.745	54.305	21.72	16.065	16.275	19.12
AT1G52565	AT1G52565	AP1	9.805	10.055	2.925	6.69	3.135	4.305
AT1G52880	NARS2	AP1	7.535	7.14	2.765	3.03	3.285	3.77
AT1G55260	LTPG6	AP1	103.385	89.63	40.325	37.19	35.665	39.745
AT1G61795	AT1G61795	AP1	6.89	5.37	2.505	3.115	2.215	2.195
AT1G62480	AT1G62480	AP1	882.325	655.555	156.7	316.125	295.935	259.965
AT1G63840	AT1G63840	AP1	15.47	14.28	6.565	3.585	5.15	5.535
AT1G65820	AT1G65820	AP1	117.865	125.57	63.37	79.33	44.575	57.295
AT1G66600	WRKY63	AP1	0.535	0.495	0	0.12	0	0.085
AT1G67750	AT1G67750	AP1	49.735	47.205	15.045	20.035	28	37.23
AT1G68320	MYB62	AP1	3.325	2.63	0.815	1.135	1.25	0.85
AT1G69260	AFP1	AP1	18.725	20.565	10.77	13.915	6.805	9.22
AT1G69640	SBH1	AP1	31.675	28.05	18.24	22.305	12.86	13.315
AT1G69870	NRT1.7	AP1	51.685	55.215	18.4	17.61	18.565	22.575
AT1G70780	AT1G70780	AP1	70.095	84.375	27.095	55.01	31.725	27.505
AT1G70782	CPuORF28	AP1	70.095	84.375	27.095	55.01	31.725	27.505
AT1G70810	AT1G70810	AP1	19.61	12.46	5.355	6.675	2.86	4.725
AT1G71697	CK1	AP1	3.58	3.215	0.875	1.89	1.57	1.595
AT1G71970	AT1G71970	AP1	23.455	22.86	7.77	11.04	5.2	8.075
AT1G73630	AT1G73630	AP1	5.075	3.14	0.99	0.805	0.775	0.64
AT1G74520	HVA22A	AP1	75.04	72.605	42.145	45.325	23.125	28
AT1G74940	AT1G74940	AP1	35.98	27.11	12.51	18.395	8.89	12.395
AT1G76180	ERD14	AP1	274.575	322.555	61.525	135.76	92.1	97.22
AT1G78020	AT1G78020	AP1	154.29	117.35	53.325	55.575	65.49	77.23
AT1G78620	AT1G78620	AP1	13.71	15.87	8.565	11.155	6.3	7.76
AT1G79410	OCT5	AP1	3.565	1.8	0.71	0.7	1.235	1.32
AT1G80130	AT1G80130	AP1	128.375	160.89	37.155	56.345	24.78	44.025
AT2G03750	AT2G03750	AP1	17.105	18.335	3.255	10.83	4.715	6.37
AT2G15970	WCOR413-LIKE	AP1	207.85	176.245	64.52	69.715	43.045	60.55
AT2G18670	AT2G18670	AP1	2.405	2.875	1.23	2.035	0.915	1.14
AT2G21560	AT2G21560	AP1	12.015	9.53	3.935	3.43	2.47	2.97
AT2G22420	AT2G22420	AP1	72.665	86.405	42.73	59.05	28.33	37.5
AT2G26110	AT2G26110	AP1	46.99	39.955	22.125	34.255	13.17	18.615
AT2G28305	LOG1	AP1	26.955	22.525	11.32	11.99	9.385	6.84
AT2G31570	GPX2	AP1	85.575	78.915	40.055	62.88	30.55	36.735
AT2G32080	PUR-ALPHA-1	AP1	55.135	61.48	27.64	33.28	24.885	27.105
AT2G34490	CYP710A2	AP1	23.955	25.94	17.96	22.105	9.215	12.08
AT2G35470	AT2G35470	AP1	49.705	36.35	14.63	31.125	15.085	16.085
AT2G35950	EDA12	AP1	9.4	12.865	4.675	5.2	3.92	5.225
AT2G36261	AT2G36261	AP1	0.78	0.455	0	0	0	0
AT2G36800	UGT73C5	AP1	8.26	7.03	3.765	2.64	5.75	4.885
AT2G40475	ASG8	AP1	6.945	11.465	2.26	2.855	2.305	4.68
AT2G41660	MIZ1	AP1	4.56	4.1	2.79	2.025	1.55	1.225
AT2G41870	AT2G41870	AP1	9.345	6.985	3.42	3.345	1.82	4.615
AT2G43350	GPX3	AP1	31.3	23.59	9.54	18.79	7.475	10.2
AT2G43520	TI2	AP1	71.045	87.76	25.81	57.27	35.39	43.575
AT2G43530	AT2G43530	AP1	258.105	292.855	58.32	141.81	55.855	87.205
AT2G44670	AT2G44670	AP1	77.5	52.035	13.6	25.5	16.295	18.19
AT2G45960	TMP-A	AP1	881.74	820.08	601.24	527.835	309.4	328.96
AT2G46270	GBF3	AP1	35.565	47.665	25.54	29.92	16.545	20.19
AT2G47160	BOR1	AP1	60.345	54.385	15.545	20.1	15.625	20.505
AT3G02790	MBS1	AP1	199.145	140.96	73.65	75.2	47.03	42.51
AT3G02900	AT3G02900	AP1	40.23	29.155	22.84	22.62	13.885	14.055
AT3G03180	AT3G03180	AP1	14.185	13.11	7.15	9.635	6.025	4.93
AT3G03270	AT3G03270	AP1	114.345	96.59	20.56	22.015	30.815	17.005
AT3G04730	IAA16	AP1	93.17	79.295	32.985	55.575	22.195	29.88
AT3G05020	ACP1	AP1	75.065	78.005	51.08	58.16	34.53	35.475
AT3G05700	AT3G05700	AP1	19.37	15.325	9.56	11.87	6.54	6.39
AT3G11780	AT3G11780	AP1	33.235	28.39	16.51	24.71	11.37	12.39
AT3G12180	AT3G12180	AP1	30.21	19.735	14.76	16.815	9.125	8.515
