Gene,Name,Cluster,AP1_S4,AP1_S6,AP3_S4,AP3_S6,AG_S4,AG_S6
AT1G01050,PPa1,Unknown,72.705,47.24,34.1,58.45,25.925,27.79
AT1G01060,LHY1,Unknown,10.07,16.835,7.06,8.915,17.335,17.8
AT1G01110,IQD18,Unknown,11.6,12.635,27.685,21.625,17.86,15.875
AT1G01170,AT1G01170,AP1,217.03,177.405,110.45,144.255,64.19,79.34
AT1G01225,AT1G01225,Unknown,9.715,6.065,5.085,7.305,3.025,3.35
AT1G01230,AT1G01230,AP1,49.095,38.205,23.695,30.435,13.355,16.03
AT1G01240,AT1G01240,AP1_AP3,14.09,14.28,8.93,15.75,3.13,6.59
AT1G01250,AT1G01250,Unknown,65.215,49.75,2.66,2.11,8.37,10.67
AT1G01320,AT1G01320,AG,11.13,21.05,21.98,18.865,46.75,43.08
AT1G01360,RCAR1,AP1_AP3,85.265,108.775,73.08,89.545,16.245,27.565
AT1G01370,HTR12,Unknown,44.175,43.36,64.825,53.3,31.145,28.405
AT1G01380,ETC1,Unknown,0,0,0,0.065,0.345,0.06
AT1G01430,TBL25,Unknown,11.97,8.015,6.715,9.21,5.59,7.225
AT1G01448,NA,Unknown,1.23,2.465,2.925,3.295,3.415,3.755
AT1G01470,LSR3,Unknown,71.385,68.29,18.295,14.3,13.84,14.245
AT1G01490,AT1G01490,Unknown,111.395,108.19,53.645,65.17,62.67,62.28
AT1G01510,DOQ,Unknown,21.865,25.815,42.83,35.03,44.16,39.475
AT1G01570,AT1G01570,Unknown,1.475,1.22,2.775,2.855,1.77,2.19
AT1G01600,CYP86A4,Unknown,5.35,17.055,9.78,5.585,22.235,22.075
AT1G01610,GPAT4,Unknown,58.195,95.475,150.725,91.96,108.89,105.675
AT1G01640,AT1G01640,Unknown,4.51,3.035,0.605,1.335,1.115,2.355
AT1G01725,AT1G01725,AP1_AP3,72.05,72.64,48.875,49.51,13.505,13.945
AT1G01730,AT1G01730,Unknown,86.42,50.29,75.26,95.23,33.33,30.795
AT1G01780,PLIM2b,Unknown,3.475,4.005,11.155,8.26,13.985,9.165
AT1G01790,KEA1,Unknown,6.11,9.185,11.87,10.94,15.985,16.31
AT1G01800,AT1G01800,Unknown,94.71,72.27,52.655,87.735,43.46,47.96
