Gene ID	Module	MM	Locus Name	TF Family	TF Name	Functional Annotation
GRMZM2G151826	1	0.994371594	--	--	--	Histone H2A
GRMZM2G476538	1	0.988562784	--	--	--	Uncharacterized protein
GRMZM2G369792	1	0.987476703	--	--	--	-
GRMZM2G040389	1	0.983673684	--	--	--	Uncharacterized protein
GRMZM2G032711	1	0.98303675	NFC104	--	--	Uncharacterized protein; WD-40 repeat protein MSI1
GRMZM2G126292	1	0.982431542	--	--	--	Uncharacterized protein
GRMZM2G038494	1	0.981149256	--	--	--	Uncharacterized protein
GRMZM5G846399	1	0.980969959	--	--	--	-
GRMZM2G130079	1	0.979920771	H3C2	--	--	Histone H3.2
GRMZM5G878541	1	0.979910091	WEE1	--	--	Putative wee1-like protein kinase
GRMZM2G320319	1	0.978258753	--	--	--	-
GRMZM2G135314	1	0.978208263	--	--	--	-
GRMZM2G004988	1	0.977434042	--	--	--	SSXT protein
GRMZM2G305046	1	0.97696543	--	--	--	Histone H2A
GRMZM2G305244	1	0.973971779	--	--	--	Uncharacterized protein
GRMZM2G323672	1	0.973587794	--	--	--	-
AC196278.2_FG004	1	0.971994988	--	--	--	Uncharacterized protein
GRMZM2G041350	1	0.971804034	--	--	--	Uncharacterized protein
GRMZM2G173321	1	0.970945011	--	ABI3-VP1	ZmABI51	DNA binding protein; Uncharacterized protein
GRMZM2G059010	1	0.970738486	--	--	--	Uncharacterized protein
GRMZM2G065205	1	0.970411205	MCM7	--	--	Uncharacterized protein
GRMZM2G032419	1	0.970359275	--	--	--	Putative H/ACA ribonucleoprotein complex subunit family protein; Uncharacterized protein
GRMZM2G450055	1	0.969914824	--	--	--	Uncharacterized protein
GRMZM2G032847	1	0.965619886	--	--	--	Uncharacterized protein
GRMZM2G083716	1	0.964678731	--	--	--	Putative TCP-1/cpn60 chaperonin family protein isoform 1; Putative TCP-1/cpn60 chaperonin family protein isoform 2; Putative TCP-1/cpn60 chaperonin family protein isoform 3; Uncharacterized protein
GRMZM2G055282	1	0.96438127	--	--	--	-
GRMZM2G072415	1	0.96408703	--	--	--	Protein translocase/ protein transporter
