"Gene","Module","CSE.1","CSE.2","CSE.3","CZ.1","CZ.2","CZ.3","ESR.1","ESR.2","ESR.3","BETL.1","BETL.2","BETL.3","AL.1","AL.2","AL.3","EMB.1","EMB.2","EMB.3","NU","PC","PE","PED"
"AC149475.2_FG007","M1",0,3.63242,5.21346,4.98988,2.91371,15.0429,0.972825,1.57213,0,0,1.76571,0,0,15.991,28.7479,33.3721,11.8137,26.9414,0,5.62884,0,22.5531
"AC149818.2_FG007","M15",1.17468,0.588173,0.555893,0.485037,0,0,3.08828,2.58672,4.9957,0,1.22297,1.29741,1.47646,0.63293,1.87755,5.79708,0,0,0,0,0,1.64849
"AC149829.2_FG002","M17",70.1246,101.453,186.487,170.417,242.454,479.685,83.7075,58.3659,51.2939,132.056,100.487,207.88,0,0,14.8133,10.746,0,15.1726,35.2829,7.3191,0,0
"AC149829.2_FG004","M6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.9053,0
"AC150739.3_FG001","M18",1.83089,2.83611,1.94097,2.15419,3.06622,2.83173,0.880271,2.47039,1.84393,8.46031,15.2635,13.2508,2.37681,3.80733,5.41824,8.80867,9.81046,4.38078,0.974138,0.0774672,1.00808,1.80944
"AC155376.2_FG004","M6",2.66332,2.66375,0.914317,3.51073,0.818195,0.575402,0,0,0.235106,0,0.853674,0,2.41223,0.266645,3.50874,0.947593,4.29789,2.52384,0.509958,0.379596,9.72688,1.30684
"AC155376.2_FG005","M6",0.308353,1.13152,0.711669,2.35516,2.48385,2.60182,0.173702,0,0,0,0.28984,0.12713,0.262891,0.574654,0,1.26546,1.95525,0.685218,2.52811,0,5.45418,1.75596
"AC155434.2_FG006","M9",5.82141,4.81511,1.06889,2.06919,10.6665,3.52272,5.10826,3.16018,1.65803,3.69156,2.11e-05,0.000430552,3.46186,0.0106794,1.69572,10.3291,4.96065,2.77935,0,0.472954,0.0891585,0
"AC155610.2_FG009","M11",55.102,8.40694,0.0071422,0.00018956,12.2847,0.000538724,39.625,0.00966971,0.0019403,4.06e-05,58.0342,0.000410419,93.8266,5.6731,41.8908,7.71327,0.0028188,47.8408,0,82.5785,0.000381408,0.00645881
"AC165171.2_FG002","M11",0,0,0,0,0,0,1.52653,1.4989,2.09138,4.1348,0.556132,1.16991,0,0.560069,1.68961,1.02698,0,0,166.757,1203.69,28.574,100.439
"AC165178.2_FG004","M7",0,0,0,0,0,0,0.398865,0,0.800319,0,0,0,0,0,0,9.84705,9.22611,6.54178,0,0,7.58631,0
"AC177815.2_FG001","M11",2.12937,0.973826,10.8654,0.817231,1.5724,0,3.38011,0,0.89398,0,0,0,0,0,0,0,0,0,0,6.13044,0,2.65297
"AC177838.2_FG012","M5",0,0,0,2.4161,1.926,1.25181,0,0,1.13385,0,1.55559,0,0,1.26966,0,2.04465,0,3.06293,12.1929,0,9.8816,14.6932
"AC177897.2_FG002","M18",7.12325,2.6912,3.03386,3.76477,4.34975,3.36017,2.21377,0.27871,1.02497,31.1441,8.62588,9.88246,0.33616,2.30206,0.399124,0.210986,0.25716,1.50085,3.85696,0,0.625422,2.36159
"AC177908.3_FG001","M18",0,0,0,0,2.26189,0,0.444142,0,0,14.1909,6.55963,7.24889,1.69846,0,0,0,0,0,4.01626,0,0,0
"AC177939.3_FG004","M7",0,0,0,0,0,0,0,0,0,0,0,0,0,1.90102,0,14.7372,19.4036,11.8418,7.69679,0,8.40802,0
"AC182482.3_FG003","M11",0,0,0,0,0,0.277233,2.13833,2.81568,2.61378,0,0,0,0,0.268248,0,0.452052,0,3.72299,0,30.2296,0,11.0891
