Individual code	Group	Name	Categories	Botanical variety	TGRC 	PI CGN#	EA #	original reads	depth	coverage	coverage(without "N")
TS-1	BIG	VF-36	Vintage Processing	S. lycopersicum	LA0490	-	-	68,472,300 	5.8254	88.12%	98.431%
TS-2	BIG	Moneymaker	Vintage Fresh Market	S. lycopersicum	LA2706	-	-	62,502,494 	5.2707	87.32%	97.537%
TS-3	BIG	M-82	Modern Processing	S. lycopersicum	LA3475	-	-	69,720,100 	5.8907	87.18%	97.381%
TS-4	BIG	Hawaii 7998	Inbreed line	S. lycopersicum	LA3856	-	-	65,393,300 	5.4853	86.94%	97.112%
TS-5	BIG	Edkawi	Vintage Fresh Market	S. lycopersicum	LA2711	-	-	69,605,530 	5.8852	87.96%	98.252%
TS-6	BIG	San Marzano	Vintage Processing	S. lycopersicum	LA3008	-	-	55,910,236 	4.7695	86.93%	97.101%
TS-7	BIG	Micro-Tom	Modern Fresh Market	S. lycopersicum	LA3911	-	-	64,531,690 	5.3326	87.43%	97.660%
TS-8	BIG	E-6203	Modern Processing	S. lycopersicum	LA4024	-	-	65,523,874 	5.5115	87.68%	97.939%
TS-9	BIG	Ailsa Craig 	Vintage Fresh Market	S. lycopersicum	LA2838A 	-	-	63,997,944 	5.411	87.96%	98.252%
TS-10	BIG	Marglobe 	Vintage Fresh Market	S. lycopersicum	LA0502	-	-	77,360,494 	8.1202	88.55%	98.911%
TS-11	BIG	KR2     	Modern Fresh Market	S. lycopersicum	-	-	-	63,430,340 	5.3004	85.80%	95.839%
TS-12	BIG	yoku improvement	Modern Fresh Market	S. lycopersicum	-	-	-	63,957,942 	5.3068	86.09%	96.163%
TS-13	CER	Pime-Bruce	Wild  species	S. lycopersicum var cerasiforme	-	-	-	63,934,450 	5.3178	86.50%	96.621%
TS-14	PIM	Chota to EI Angel	Wild  species	S. pimpinellifolium	LA1547	-	-	65,481,502 	5.3511	86.85%	97.012%
TS-15	PIM		Wild  species	S. pimpinellifolium	LA2093	-	-	52,109,856 	5.2165	85.45%	95.448%
TS-16	PIM		Wild  species	S. pimpinellifolium	LA1246	PI365912	-	65,006,088 	5.3401	85.85%	95.895%
TS-17	PIM	Culebras	Wild  species	S. pimpinellifolium	LA0373	-	-	63,976,088 	5.1574	85.41%	95.403%
TS-18	PIM		Wild  species	S. pimpinellifolium	LA1579	-	-	65,976,876 	5.3075	85.51%	95.515%
