ID	Declustering Potential (DP)	Collision Energy (CE)	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Molecular formula	Ionization model	Ret. Time (min)	Precursor ions (Q1)	Product ions (Q3)	Main fragments	Compound name	Identification level	Class	CV_all	CV_PIM	CV_CER	CV_BIG	H2
SlFM0001	40	20						1.07	82.1	58.5	58.5				1.36	2.24	1.56	1.21	0.37
SlFM0002	40	30				C5H11N	H+	2.37	86.1	69.1	69.1	Piperidine	putatively annotated	Others	0.75	0.73	0.82	0.71	0.52
SlFM0003	40	40				C4H12N2	H+	1.05	89.1	72.1	72.1, 69.3, 71.4, 70.0, 66.7, 65.8	Putrescine	putatively annotated	Polyamine	1.89	2.77	2.13	1.7	0.44
SlFM0004	40	40						1.04	94.1	58.9	58.9, 82.9, 53.1, 62.1, 65.5, 79.0				1.93	3.36	2.63	1.67	0.38
SlFM0006	40	30				C6H10O	H+	10.3	99.1	81.1	81.1, 79.0, 81.9, 77.0, 78.3	trans-2-Hexenal	putatively annotated	Others	0.36	0.29	0.4	0.35	0.11
SlFM0007	50	30	103.0528					4.64	103.1	77	77				0.76	0.8	0.89	0.7	0.43
SlFM0008	40	20	104.1059				H+	1.59	104.1	58.1	58.1, 60.0, 87.0, 69.0, 57.9	2-Aminoisobutyric acid	putatively annotated	Amino acid derivative	1.13	1.59	1.27	1.04	0.43
SlFM0009	40	10	104.1068				protonated	1.56	104.1	60.1	60.1	Choline	standard	Vitamin	1.24	1.97	1.39	1.13	0.46
SlFM0010	40	30				C4H9N1O2	H+	1.6	104	87.1	87.1, 84.9, 96.9, 59.9, 58.0, 66.9	gamma-Aminobutyric acid	putatively annotated	Amino acid derivative	1.39	2.11	1.53	1.23	0.48
SlFM0011	40	30					H+	1.56	105	61	61.0, 88.0, 59.0, 57.9	Methional	putatively annotated	Others	1.17	1.79	1.31	1.07	0.43
SlFM0013	40	30				C3H7NO3	H+	1.64	106.1	89	89	L-Serine	standard	Amino acid	1.47	2.29	1.63	1.37	0.64
SlFM0014	40	40					H+	1.69	112.1	95	95	Histamine	putatively annotated	Others	1.37	1.66	1.35	1.33	0.46
SlFM0015	60	20					H+	2.36	113.1	70	98.9, 69.9	Uracil	putatively annotated	Nucleic acid	0.81	0.72	0.74	0.78	0.52
SlFM0017	40	60	116.0706			C5H9NO2	H+	1.69	116.1	70.1	70	L-Proline	standard	Amino acid	2.15	1.39	2.37	1.76	0.59
SlFM0018	40	60				C5H11NO2	H+	1.65	118	58	58	Betaine	standard	Alkaloid	1.4	1.3	1.31	1.37	0.44
SlFM0019	40	50				C5H11NO2	H+	1.8	118.1	72.2	72.2	L-Valine	standard	Amino acid	1.15	1.36	1.36	1.04	0.57
SlFM0020	60	30					H+	5.38	118	91	91.0, 57.5, 58.1 , 103.0, 55.4	Indole	putatively annotated	Others	0.74	0.59	0.89	0.68	0.32
SlFM0022	40	30				C4H9NO3	H+	1.68	120	74	74	Homoserine	putatively annotated	Amino acid derivative	1.16	1.45	1.25	1.03	0.56
SlFM0023	60	20						6.53	120.1	92	92.0, 65.0, 91.2, 103.0, 109.9				3.37	1.48	3.04	2.36	0.87
SlFM0024	10	20	120.0651	120.0655	3.52	C4H9NO3	H+	1.66	120.1	101.9	77.2, 117.9, 68.9	L-Threonine	standard	Amino acid	1.2	1.63	1.28	1.06	0.56
SlFM0027	60	30				C4H8O4	H+	2.3	121.1	91	91	D-Threose	putatively annotated	Saccharides	0.96	1.03	0.92	0.94	0.57
SlFM0028	10	10					H+	4.62	121.1	104.1	104.0, 121.0, 78.0, 92.0, 77.0	Benzamidine	standard	Others	1.15	0.94	1.21	1.11	0.46
SlFM0029	60	20						5.17	122.1	87.9	87.9, 105.0, 76.8, 86.0, 73.0				0.85	0.7	0.85	0.71	0.57
SlFM0030	10	30				C3H7NO2S	H+	2.8	122	105	105.0, 103.0, 76.9, 79.0, 95.0, 76.3	Cysteine	putatively annotated	Amino acid	2.88	3.29	3.34	2.69	0.47
SlFM0031	-50	-20					H-	10	121	76.8	96.9, 79.8, 78.7, 95.6, 74.2, 77.4 	Benzoic acid	putatively annotated	Polyphenol	0.55	0.51	0.61	0.52	0.39
SlFM0032	60	30					H+	1.75	123.1	80.1	80.1, 78.0, 96.0, 79.3, 76.8	Niacinamide	standard	Vitamin	0.79	0.97	0.94	0.72	0.31
SlFM0036	60	30	124.0396	124.0393	2.4	C6H5NO2	H+	1.77	124.1	80	80.0, 81.0, 79.0, 78.0, 96.0, 97.0	Nicotinic acid	standard	Vitamin	0.83	1.08	0.98	0.74	0.45
SlFM0037	40	40						1.05	124.1	83.1	82.9, 100.9, 82.2, 118.9, 80.8, 77.0				0.85	1.01	0.88	0.76	0.21
SlFM0038	40	30	127.0144					10.2	127.1	98.8	98.9, 80.9, 108.9, 98.1, 97.0				0.46	0.4	0.5	0.44	0.17
SlFM0040	40	30	130.0862	130.0863	0.43	C6H11NO2	H+	2.3	130.1	70	70	Pipecolinic acid	standard	Others	1.06	1.45	1.05	1.03	0.34
SlFM0041	50	60	130.0498				H+	1.68	130.1	84	83.8, 81.5, 82.5, 79.8, 77.8	1-Amino-1-cyclopentanecarboxylic acid	putatively annotated	Amino acid derivative	0.81	1.02	0.91	0.74	0.41
SlFM0042	30	20	131.1288	131.1291	2.48	C5H14N4	H+	1.6	131.1	72.1	72.1	Agmatine	standard	Polyamine	1.24	2.11	1.27	1.08	0.51
SlFM0043	60	40						6.83	131.1	115	114.9, 91.0, 89.0, 116.0, 76.9				1	0.78	0.79	0.8	0.74
SlFM0044	40	50					H+	2.35	132	69	68.9, 67.0, 65.4, 53.3, 64.0	6-Aminohexanoic acid	putatively annotated	Amino acid derivative	1.22	1.44	1.25	1.14	0.54
SlFM0045	60	40				C5H9NO3	H+	1.7	132.1	86.1	86.1	delta-Aminolevulinic acid hydrochloride	putatively annotated	Saccharides	2.1	2.57	2.07	2.05	0.26
SlFM0046	60	40	132.1014	132.1019	3.78	C6H13NO2	H+	2.35	132.1	86.1	58.2	L-Leucine	standard	Amino acid	1.4	1.52	1.49	1.3	0.56
SlFM0047	60	40	132.1017	132.1019	1.56	C6H13NO2	H+	2.7	132.2	86.2	82.8	L-Isoleucine	standard	Amino acid	1.43	1.6	1.53	1.33	0.56
SlFM0048	30	30				C5H12N2O2	H+	2.34	133	70.1	70.1	Ornithine	putatively annotated	Amino acid	1.25	1.35	1.27	1.17	0.54
SlFM0049	40	40	133.0603	133.0608	3.55	C4H8N2O3	H+	1.65	133	74	74	L-Asparagine	standard	Amino acid	1.15	1.47	1.32	1.01	0.56
SlFM0052	-40	-30					H-	5.23	131	87.3	87.0, 86.3, 85.1, 113.0, 84.1, 85.6 	2-Methylenesuccinic acid	putatively annotated	Polyphenol	0.76	1.03	0.71	0.74	0.3
SlFM0054	40	30				C4H7NO4	H+	1.8	134.1	88.1	73.8, 87.9, 69.7, 68.6, 87.3, 66.9	L-Aspartic acid	standard	Amino acid	1.07	1.1	1.19	0.97	0.47
SlFM0055	-40	-40					H-	1.95	133	115	114.9, 89.0, 72.8, 69.8, 67.9	D-(+)-Malic acid	standard	Polyphenol	1.33	1.36	1.37	1.23	0.43
SlFM0057	40	40				C4H9NO2S	H+	2.3	136.1	119	118.9, 91, 92, 108.9, 117.9	S-Methyl-L-cysteine	putatively annotated	Amino acid derivative	1.64	1.62	1.71	1.49	0.63
SlFM0058	40	20						4.55	136.2	119	119.0, 90.9, 91.9, 108.9, 98.8, 107.9				1.58	2.38	1.56	1.51	0.51
SlFM0059	40	20						6.29	136.1	119	118.9, 91.0, 91.9, 135.0				0.76	0.93	0.82	0.72	0.4
SlFM0060	40	40	136.0619	136.0618	0.95	C5H5N5	H+	2.6	136.1	119.1	118.9, 92.0, 94.0, 91.3, 77.0	Adenine	standard	Nucleic acid derivative	1.86	1.79	1.79	1.75	0.56
SlFM0061	20	30						1.01	137.1	83	83				1.71	2.56	2.01	1.51	0.36
SlFM0062	40	50					H+	1.67	138	94.1	94.1	4-Aminobenzoic acid	putatively annotated	Polyphenol	1.13	1.16	1.26	1.07	0.46
SlFM0063	40	50				C7H7NO2	H+	1.67	138.1	94.2	110	Trigonelline	standard	Alkaloid	1.11	1.07	1.3	1.04	0.45
SlFM0064	20	20				C7H7NO2	H+	6.51	138.1	119.8	119.8, 92.0, 119.1, 64.9, 91.2, 110.0	Anthranilic acid	putatively annotated	Amino acid derivative	3.35	1.47	3.14	2.8	0.88
SlFM0066	40	30	138.0914			C8H11NO	H+	2.3	138.1	121.1	121.1	L-Tyramine	standard	Amino acid	1.33	1.72	1.29	1.26	0.57
SlFM0069	-40	-10				C7H6O3	H-	11.5	137.1	93.1	93.0, 90.6, 108.0, 89.0, 86.3 	Salicylic acid	putatively annotated	Polyphenol	1.67	1.45	2	1.51	0.42
SlFM0070	30	20					H+	6.46	139	121	121.0, 92.9, 94.0, 95.0, 77.0	Urocanic acid	putatively annotated	Others	2.24	1.3	2.1	1.07	0.73
SlFM0071	30	20					H+	2.3	139	122	121.9, 68.9, 93.9, 77.9, 121, 68.3	p-Nitroaniline	putatively annotated	Others	1.09	1.28	1.04	1.06	0.54
SlFM0072	-40	-20				C6H5NO3	H-	11.2	138	94	94.0, 108.1, 110.0, 82.8, 136.9 	6-Hydroxynicotinic Acid	putatively annotated	Others	0.8	0.57	0.72	0.76	0.31
SlFM0073	40	30				C6H5NO3	H+	1.06	140.1	98.9	98.9, 98.2, 97.3, 56.7, 95.9, 116.9	4-Nitrophenol	putatively annotated	Others	1.15	1.5	1.15	1.11	0.31
SlFM0074	20	30						1.04	142.1	82.8	82.9, 100.9, 82.4, 123.9, 100.2, 118.9				1.11	1.3	1.1	1	0.35
SlFM0076	40	20					H+	4.87	144.1	115	115.1, 89.1, 117, 91.1	4-Methyl-5-thiazoleethanol	putatively annotated	Vitamin	0.72	0.99	0.74	0.69	0.27
SlFM0078	40	30				C7H19N3	H+	1.6	146.2	72	72.0, 84.0, 112.0, 68.4, 101.9, 69.8	Spermidine	standard	Polyamine	1.12	1.49	1.19	1.06	0.29
SlFM0079	50	20	146.1181				H+	1.6	146.1	87	84.0, 112.0, 72.0, 101.9, 69.0, 71.4	Acetylcholine 	standard	Others	1.12	1.17	1.08	1.08	0.35
SlFM0080	40	40	146.0595					5.38	146.1	118	91.0, 119.0, 117.9				0.74	0.7	0.87	0.68	0.32
