"PlantID","Genotype","Treatment","FW","side.area.norm..mm.2.","side.border.length.norm..mm.","side.compactness.01..relative.","side.compactness.16..relative.","side.fluo.intensity.average..relative.","side.fluo.intensity.classic.sum","side.height.norm..mm.","side.hull.circumcircle.d..px.","side.hull.fillgrade..percent.","side.hull.pc1","side.hull.pc2","side.leaf.count..leafs.","side.leaf.length.average.norm","side.leaf.length.sum.norm..mm.","side.leaf.width.average.norm","side.nir.intensity.average..relative.","side.nir.skeleton.intensity.average..relative.","side.vis.hue.average","side.width.norm..mm.","side.width.norm.relative","side.width.relative","top.area..px.","top.border.length..px.","top.compactness.01..relative.","top.compactness.16..relative.","top.fluo.intensity.average..relative...pix.","top.fluo.intensity.classic.sum","top.hull.circumcircle.d..px.","top.hull.fillgrade..percent.","top.hull.pc2","top.leaf.count","top.leaf.length.average","top.nir.intensity.average..relative...pix.","top.nir.intensity.sum","top.vis.hue.average","volume.fluo.iap"
"1137KN183","Djamilia","control",105.01,115074.4764,20409.87443,0.003491676,3622.333333,0.193507217,1155401.333,806.706621,927.6572673,0.237645891,1159,781.3773381,30.66666667,208.9722474,6400.48516,37.45119346,0.512046041,0.532949343,0.217721041,783.076484,0.851586162,0.853046859,272943,36026,0.00264277,4755,0.418200568,23850844,1455.530762,0.226601047,1166.669261,38,245,0.651298644,1721099,0.250700866,62016177.31
"1137KN184","Djamilia","control",101.31,124547.9286,20025.55651,0.003983573,3237.333333,0.209911926,1918601.667,768.3076484,856.3371785,0.316521141,966,728.991356,34.66666667,178.7660434,6216.695205,39.95877051,0.520000978,0.560916455,0.223797424,689.2123288,1.005478872,1.007203536,290441,32173,0.003526907,3563,0.465568836,30320104,1491.025024,0.256598709,1218.978016,46,236,0.651545466,1900190,0.252729675,69239747.51
"1137KN185","Djamilia","control",108.7,124867.5126,20746.93208,0.003731333,3456.333333,0.202141336,1630992.333,784.3892694,910.0274048,0.285759127,1147,776.4387169,29,237.4586779,6697.83105,37.58950331,0.517926793,0.539504988,0.21738736,670.505137,0.937392653,0.93900053,258216,29413,0.003751155,3350,0.453350121,25983039,1634.104126,0.226335512,1186.998646,30,320,0.632892561,1645508,0.248407059,65453223.5
"1137KN186","Djamilia","control",107.96,124460.0349,19959.58904,0.003955399,3202,0.210375908,1871747,819.1780822,948.5493978,0.259409995,912,824.8498265,30,242.198934,6767.408676,37.96748921,0.514446307,0.53656068,0.215806032,740.0827626,1.005540024,1.007264792,285835,35168,0.002904848,4326,0.452154304,28342841,1586.129761,0.218583351,1163.83804,45,255,0.652759924,1820505,0.248939071,68640055.58
"1137KN187","Djamilia","control",114.67,125528.9772,19998.64441,0.004142712,3197.666667,0.216632714,2307452.667,756.8207763,974.737854,0.288606219,1092.666667,761.6204099,25.66666667,261.1824526,6430.351027,39.00993272,0.513603267,0.536403117,0.218494145,663.6130137,1.128630084,1.130565985,306995,32524,0.003647713,3445,0.465988135,32185191,1715.833862,0.247354792,1220.713873,35,342,0.630999116,1796180,0.244516329,71746322.62
"1137KN188","Djamilia","control",105.39,140838.6343,22690.51084,0.003479251,3656,0.216945771,2643632.667,844.4492009,1000.892985,0.2646164,1076.666667,839.3615072,32,230.9636642,7378.510274,38.68608984,0.509961454,0.507099766,0.214749718,708.5759132,0.926101682,0.927690193,308030,38381,0.002627848,4782,0.464022221,32102878,1702.952026,0.197466077,1294.584451,31,424,0.647136071,1826273,0.245356421,80632164.42
"1137KN189","Djamilia","control",103.17,123097.0366,20157.49144,0.00417058,3338.333333,0.219372918,2234540,728.5958904,833.1884562,0.316743827,1116.333333,731.5028257,28.33333333,220.7342099,6284.631849,40.35374665,0.513449755,0.488765748,0.223277413,661.6438356,1.032096005,1.033866324,281504,31396,0.003589366,3501,0.473687136,29896737,1589.491577,0.251411097,1133.686465,44,261,0.621120384,1654497,0.25006789,67372069.5
"1137KN190","Djamilia","stress",63.56,88217.78718,12975.89897,0.006689928,1913.666667,0.23954387,2226383.333,702.9965753,753.1148682,0.2835225,1118,628.8646442,24.33333333,202.1873779,4584.246575,38.61266825,0.519834844,0.551428526,0.220717651,593.7071918,1.086330291,1.088193636,205870,23281,0.004774457,2632,0.50869216,23864965,1247.658203,0.222672776,1147.264054,35,262,0.618444568,1396621,0.257464229,41289792.18
"1137KN191","Djamilia","stress",71.87,102030.6666,16091.79509,0.005106556,2549,0.241051146,2596076.333,658.3618721,860.5421549,0.286209601,1160.333333,740.6472117,24.66666667,223.1052946,5408.019406,38.38011259,0.518158383,0.554356505,0.219572071,615.0399543,0.983317107,0.985003757,240094,25494,0.004642176,2707,0.521321371,28735229,1402.604858,0.241537671,1142.16246,25,354,0.633384314,1521937,0.257480031,51571692.28
"1137KN192","Djamilia","stress",61.66,89494.18436,12840.35388,0.007232856,1861.666667,0.244995444,2367869.333,635.3881279,756.7624715,0.302367146,1018.333333,642.7511582,25.33333333,183.4700702,4532.719749,39.3671103,0.519756232,0.543674169,0.221587569,589.4406393,1.032124945,1.033895313,209496,22920,0.005012513,2507,0.514272779,24615670,1406.110596,0.226347699,933.7302473,35,253,0.624189057,1409912,0.262891595,42254472.73
