LDA observed	LDA predicted
AP1	AP1/AP3
AP1	AG
AP1	AG
AP1	AG
AP1	AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AP1
AP1	AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AP1
AP1	AP1/AP3
AP1	AP1
AP1	AP3/AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AG
AP1	AG
AP1	AG
AP1	AG
AP1	AG
AP1	AG
AP1	AG
AP1	AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AG
AP1	AP1
AP1	AP1
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AG
AP1	AG
AP1	AG
AP1	AP1
AP1	AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1
AP1	AP1
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AP1
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AP3
AP1	AP1/AP3
AP1	AG
AP1	AG
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AP1
AP1	AG
AP1	AP1/AP3
AP1	AG
AP1	AG
AP1	AG
AP1	AP1/AP3
AP1	AG
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AP1/AP3
AP1	AG
AP1	AG
AP1	AG
AP1	AG
AP1	AP1
AG	AG
AG	AG
AG	AG
AG	AP3/AG
AG	AG
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AP3
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AP3/AG
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1
AG	AP1
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AP1
AG	AP1
AG	AP1/AP3
AG	AP3/AG
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1
AG	AG
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1
AG	AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AG
AG	AG
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AG
AG	AG
AG	AG
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AG
AG	AP1/AP3
AG	AP3/AG
AG	AG
AG	AG
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AP1/AP3
AG	AG
AG	AP1
AG	AP1/AP3
